City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cayenne,90,GF,1586674307,78,4.93,-52.33,80.58,3.1
Santa maria,0,BR,1586674479,90,-29.68,-53.81,53.9,1.52
Butaritari,99,KI,1586674278,77,3.07,172.79,83.01,5.78
Khorixas,0,NA,1586674479,45,-20.37,14.97,73.42,2.78
Bluff,47,NZ,1586674269,63,-46.6,168.33,65.98,2.68
Punta arenas,40,CL,1586674340,93,-53.15,-70.92,39.18,5.1
Rikitea,92,PF,1586674480,80,-23.12,-134.97,78.53,4.09
Kaitangata,91,NZ,1586674480,70,-46.28,169.85,59.99,0.45
Ushuaia,40,AR,1586674339,65,-54.8,-68.3,40.98,6.7
Zhigansk,78,RU,1586674480,92,66.77,123.37,25.14,5.45
Castro,61,BR,1586674436,69,-24.79,-50.01,55.67,2.45
Hithadhoo,9,MV,1586674481,68,-0.6,73.08,84.72,3.83
Saint-francois,8,FR,1586674481,86,46.42,3.91,42.98,1
Abu samrah,0,SY,1586674481,56,35.3,37.18,57.74,2.94
Chapais,1,CA,1586674481,85,49.78,-74.85,17.58,2.6
Kapaa,75,US,1586674482,78,22.08,-159.32,73.38,2.1
Jeremie,4,HT,1586674482,72,18.65,-74.12,78.58,2.12
Barrow,90,US,1586674262,86,71.29,-156.79,28.38,7.7
Vaini,40,TO,1586674274,73,-21.2,-175.2,75.18,2.1
Torbay,5,CA,1586674292,95,47.67,-52.73,32.99,7.7
Bokajan,1,IN,1586674483,17,26.02,93.78,97.88,1.78
Saint-philippe,18,RE,1586674300,62,-21.36,55.77,84.18,1.5
Mar del plata,100,AR,1586674112,100,-38,-57.56,56.98,2.6
Kidal,49,ML,1586674483,22,18.44,1.41,81.43,2.62
Hermanus,70,ZA,1586674272,75,-34.42,19.23,65.98,7.6
Albany,1,US,1586674208,92,42.6,-73.97,31.98,1.5
Mana,98,GF,1586674419,81,5.66,-53.78,76.93,3.9
Mataura,38,NZ,1586674267,63,-46.19,168.86,65.98,2.68
Jumla,null,null,null,null,null,null,null,null
